step,dataset,drift_case,ood_dataset,model,selection_metric,budget_ratio,id_ratio,before_acc,after_acc,acc_gain,before_ap,after_ap,ap_gain
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.05,0.1,0.2966666666666667,0.8473333333333334,0.5506666666666666,0.16036324646496686,0.20083236361507006,0.04046911715010321
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.05,0.3,0.2966666666666667,0.847,0.5503333333333333,0.16036324646496686,0.2019490626427785,0.04158581617781165
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.05,0.5,0.2966666666666667,0.8476666666666667,0.5509999999999999,0.16036324646496686,0.20205481674413678,0.04169157027916992
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.05,0.7,0.2966666666666667,0.849,0.5523333333333333,0.16036324646496686,0.19844647834443202,0.03808323187946516
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.05,0.9,0.2966666666666667,0.8473333333333334,0.5506666666666666,0.16036324646496686,0.2018078032665365,0.04144455680156964
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.1,0.1,0.2966666666666667,0.848,0.5513333333333332,0.16036324646496686,0.2018190058187467,0.04145575935377985
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.1,0.3,0.2966666666666667,0.8476666666666667,0.5509999999999999,0.16036324646496686,0.20256285030233573,0.04219960383736887
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.1,0.5,0.2966666666666667,0.8473333333333334,0.5506666666666666,0.16036324646496686,0.19954105670907074,0.03917781024410388
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.1,0.7,0.2966666666666667,0.848,0.5513333333333332,0.16036324646496686,0.19985130895613926,0.0394880624911724
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.1,0.9,0.2966666666666667,0.8483333333333334,0.5516666666666667,0.16036324646496686,0.20074764108288967,0.040384394617922814
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.2,0.1,0.2966666666666667,0.847,0.5503333333333333,0.16036324646496686,0.2010240245417203,0.040660778076753445
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.2,0.3,0.2966666666666667,0.8473333333333334,0.5506666666666666,0.16036324646496686,0.20218117968047436,0.0418179332155075
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.2,0.5,0.2966666666666667,0.8466666666666667,0.55,0.16036324646496686,0.20088940727603127,0.040526160811064416
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.2,0.7,0.2966666666666667,0.8476666666666667,0.5509999999999999,0.16036324646496686,0.20161736354508328,0.04125411708011642
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.2,0.9,0.2966666666666667,0.847,0.5503333333333333,0.16036324646496686,0.2002460759847111,0.039882829519744256
retrain,NF-CICIDS2018-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,random,0.3,0.1,0.2966666666666667,0.848,0.5513333333333332,0.16036324646496686,0.20154330716132607,0.04118006069635921
