step,dataset,model,acc,f1,precision,recall,ap
best_ensemble,NF-UNSW-NB15-v3.csv,Stacking_best,0.99935,0.9962373371924746,0.995373048004627,0.9971031286210892,0.9990406359784054
best_ensemble,NF-UNSW-NB15-v3.csv,XGBoostStacking_best,0.99855,0.9915278995033596,1.0,0.9831981460023175,0.9846481460023174
