step,dataset,eval_case,model,phase,acc,f1,precision,recall,ap
best_ensemble,NF-UNSW-NB15-v3.csv,base_NF_UNSW_NB15_v3,Voting,before_retrain,0.9998900831774417,0.9989825865779691,0.9983575143717492,0.9996084419906809,0.9999968062910548
best_ensemble,NF-UNSW-NB15-v3.csv,base_NF_UNSW_NB15_v3,Stacking,before_retrain,0.9999006521026876,0.999080324821446,0.9985527653915356,0.9996084419906809,0.9999981344895019
best_ensemble,NF-UNSW-NB15-v3.csv,base_NF_UNSW_NB15_v3,XGBoostStacking,before_retrain,0.9999640656541636,0.99966716917595,0.9996867413266505,0.9996475977916128,0.9999995284729524
best_ensemble,NF-UNSW-NB15-v3.csv,base_NF_UNSW_NB15_v3,Voting,after_retrain,0.9997082976632107,0.9972943298564818,0.9987433732574121,0.9958494851012177,0.9997090867837451
best_ensemble,NF-UNSW-NB15-v3.csv,base_NF_UNSW_NB15_v3,Stacking,after_retrain,0.9999112210279336,0.9991780178487553,0.9988261533043784,0.9995301303888171,0.9999968508673769
best_ensemble,NF-UNSW-NB15-v3.csv,base_NF_UNSW_NB15_v3,XGBoostStacking,after_retrain,0.9999682932242621,0.9997063142437592,0.9997650375939849,0.9996475977916128,0.9999995055613999
