step,dataset,drift_case,ood_dataset,model,selection_metric,budget_ratio,id_ratio,before_acc,after_acc,acc_gain,before_ap,after_ap,ap_gain
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.1,0.1,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3202813204140573,0.20616720629994323
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.1,0.3,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3200528822821531,0.20593876816803902
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.1,0.5,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3207385302574158,0.20662441614330168
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.1,0.7,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3201044702011728,0.20599035608705868
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.1,0.9,0.506,0.934,0.42800000000000005,0.11411411411411411,0.31867804455630305,0.20456393044218896
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.2,0.1,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3200078498747292,0.2058937357606151
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.2,0.3,0.506,0.934,0.42800000000000005,0.11411411411411411,0.31958942584927935,0.20547531173516526
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.2,0.5,0.506,0.934,0.42800000000000005,0.11411411411411411,0.31919118980556577,0.20507707569145167
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.2,0.7,0.506,0.934,0.42800000000000005,0.11411411411411411,0.31961463981744476,0.20550052570333066
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.2,0.9,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3193847064651466,0.2052705923510325
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.3,0.1,0.506,0.934,0.42800000000000005,0.11411411411411411,0.32176516000634475,0.20765104589223066
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.3,0.3,0.506,0.934,0.42800000000000005,0.11411411411411411,0.32154599170345366,0.20743187758933956
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.3,0.5,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3213977395616875,0.2072836254475734
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.3,0.7,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3213456354012884,0.20723152128717431
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,uncertainty,0.3,0.9,0.506,0.9343333333333333,0.42833333333333334,0.11411411411411411,0.32135368029150935,0.20723956617739525
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.05,0.1,0.506,0.9323333333333333,0.42633333333333334,0.11411411411411411,0.31311212372698377,0.19899800961286968
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.05,0.3,0.506,0.9323333333333333,0.42633333333333334,0.11411411411411411,0.31244116454246845,0.19832705042835436
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.05,0.5,0.506,0.9333333333333333,0.42733333333333334,0.11411411411411411,0.3121481639763125,0.1980340498621984
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.05,0.7,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3108919479963303,0.1967778338822162
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.05,0.9,0.506,0.9313333333333333,0.42533333333333334,0.11411411411411411,0.31217241525239,0.19805830113827588
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.1,0.1,0.506,0.934,0.42800000000000005,0.11411411411411411,0.31995481521066743,0.20584070109655334
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.1,0.3,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3197114960528756,0.20559738193876148
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.1,0.5,0.506,0.9343333333333333,0.42833333333333334,0.11411411411411411,0.31902265917594835,0.20490854506183426
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.1,0.7,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3189659350546164,0.2048518209405023
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.1,0.9,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3182420929616237,0.2041279788475096
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.2,0.1,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3205138024210628,0.20639968830694871
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.2,0.3,0.506,0.9336666666666666,0.42766666666666664,0.11411411411411411,0.3205000819747069,0.20638596786059282
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.2,0.5,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3197568204643928,0.2056427063502787
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.2,0.7,0.506,0.9343333333333333,0.42833333333333334,0.11411411411411411,0.31929867509524296,0.20518456098112886
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.2,0.9,0.506,0.9343333333333333,0.42833333333333334,0.11411411411411411,0.3182999738418889,0.2041858597277748
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.3,0.1,0.506,0.934,0.42800000000000005,0.11411411411411411,0.32175663218887657,0.20764251807476247
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.3,0.3,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3213770586933277,0.20726294457921363
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.3,0.5,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3217585299117921,0.207644415797678
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.3,0.7,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3214620093880521,0.207347895273938
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,entropy,0.3,0.9,0.506,0.934,0.42800000000000005,0.11411411411411411,0.3211261824346074,0.2070120683204933
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.05,0.1,0.506,0.9283333333333333,0.42233333333333334,0.11411411411411411,0.25102846768711234,0.13691435357299825
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.05,0.3,0.506,0.9286666666666666,0.42266666666666663,0.11411411411411411,0.2478711560392146,0.13375704192510052
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.05,0.5,0.506,0.9286666666666666,0.42266666666666663,0.11411411411411411,0.2476364458600125,0.1335223317458984
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.05,0.7,0.506,0.928,0.42200000000000004,0.11411411411411411,0.24753826449507288,0.13342415038095878
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.05,0.9,0.506,0.9283333333333333,0.42233333333333334,0.11411411411411411,0.24621152304147273,0.1320974089273586
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.1,0.1,0.506,0.9293333333333333,0.42333333333333334,0.11411411411411411,0.2785251291916547,0.16441101507754058
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.1,0.3,0.506,0.9286666666666666,0.42266666666666663,0.11411411411411411,0.274436445219982,0.1603223311058679
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.1,0.5,0.506,0.93,0.42400000000000004,0.11411411411411411,0.2725963017862089,0.15848218767209482
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.1,0.7,0.506,0.9283333333333333,0.42233333333333334,0.11411411411411411,0.2706096160496031,0.156495501935489
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.1,0.9,0.506,0.9283333333333333,0.42233333333333334,0.11411411411411411,0.2715875588028706,0.15747344468875651
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.2,0.1,0.506,0.9316666666666666,0.42566666666666664,0.11411411411411411,0.29490482177794564,0.18079070766383154
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.2,0.3,0.506,0.9316666666666666,0.42566666666666664,0.11411411411411411,0.29346186075524716,0.17934774664113307
retrain,NF-UNSW-NB15-v3.csv,adv_pgd,NF-BoT-IoT-v3.csv,AE,gd,0.2,0.5,0.506,0.9316666666666666,0.42566666666666664,0.11411411411411411,0.2932711242026887,0.1791570100885746
