step,dataset,model,acc,f1,precision,recall,ap
best_ensemble,NF-UNSW-NB15-v3.csv,Stacking_best,0.9983333333333333,0.9927007299270073,1.0,0.9855072463768116,1.0
best_ensemble,NF-UNSW-NB15-v3.csv,XGBoostStacking_best,1.0,1.0,1.0,1.0,1.0
