step,dataset,model,acc,f1,precision,recall,ap
ablation,NF-ToN-IoT-v3.csv,DSFANet_full,0.9513133333333333,0.9363334408536532,0.9549823503783332,0.9183989328499235,0.9816360226385655
ablation,NF-ToN-IoT-v3.csv,DSFANet_s_only,0.9220533333333333,0.9017421192843277,0.8864993927577062,0.917518192001505,0.954199886665859
ablation,NF-ToN-IoT-v3.csv,DSFANet_t_only,0.7698033333333333,0.6296330063659424,0.8444486002819576,0.5019453256603419,0.7917466940668076
ablation,NF-ToN-IoT-v3.csv,DSFANet_no_attn,0.9474033333333334,0.9301174084227589,0.9647299854840784,0.8979024686396402,0.981814776282719
