step,dataset,eval_case,model,phase,acc,f1,precision,recall,ap
best_ensemble,NF-ToN-IoT-v3.csv,base_NF_ToN_IoT_v3,Voting,before_retrain,0.9566059695656945,0.942174127677748,0.9803483923106611,0.9068614085791027,0.9909968411608898
best_ensemble,NF-ToN-IoT-v3.csv,base_NF_ToN_IoT_v3,Stacking,before_retrain,0.9732854994829264,0.965678590002026,0.9672748544684011,0.9640875853895094,0.9951233867317258
best_ensemble,NF-ToN-IoT-v3.csv,base_NF_ToN_IoT_v3,XGBoostStacking,before_retrain,0.9785270924039235,0.9723327541817599,0.9767806422573686,0.9679251904703979,0.9963874903203306
best_ensemble,NF-ToN-IoT-v3.csv,base_NF_ToN_IoT_v3,Voting,after_retrain,0.9492163228109036,0.9317848360635734,0.9780061528057767,0.889735268634686,0.9900790560752838
best_ensemble,NF-ToN-IoT-v3.csv,base_NF_ToN_IoT_v3,Stacking,after_retrain,0.9759751543045014,0.9690647414692575,0.9728605577165254,0.9652984304223183,0.9947361404754518
best_ensemble,NF-ToN-IoT-v3.csv,base_NF_ToN_IoT_v3,XGBoostStacking,after_retrain,0.9784774925818288,0.97221968820932,0.9784173307064389,0.9661000676264874,0.996362864370822
