step,dataset,model,attack,selection_metric,budget_ratio,id_ratio,before_acc,after_acc,acc_gain
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_rank,0.3,0.75,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.1,0.25,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.1,0.5,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.1,0.75,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.2,0.25,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.2,0.5,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.2,0.75,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.3,0.25,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.3,0.5,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,pgd,ensemble_hybrid,0.3,0.75,0.398,0.6043333333333333,0.20633333333333326
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.1,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.1,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.1,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.2,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.2,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.2,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.3,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.3,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,random,0.3,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.1,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.1,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.1,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.2,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.2,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.2,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.3,0.25,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.3,0.5,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,uncertainty,0.3,0.75,0.5743333333333334,0.604,0.02966666666666662
retrain,NF-ToN-IoT-v3.csv,AE,gdkde,entropy,0.1,0.25,0.5743333333333334,0.604,0.02966666666666662
