step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-UNSW-NB15-v3.csv,clean,AE,0.895,0.625,0.481651376146789,0.8898305084745762,0.7895296853494688
drift,NF-UNSW-NB15-v3.csv,clean,LSTM,0.9991666666666666,0.9957805907172996,0.9915966386554622,1.0,0.9999280274540648
drift,NF-UNSW-NB15-v3.csv,clean,DSFANet,0.9991666666666666,0.9957627118644068,0.9957627118644068,0.9957627118644068,0.9961793785310734
drift,NF-UNSW-NB15-v3.csv,clean,Stacking,0.9991666666666666,0.9957627118644068,0.9957627118644068,0.9957627118644068,0.9999821211471072
drift,NF-UNSW-NB15-v3.csv,clean,XGBoostStacking,0.9991666666666666,0.9957805907172996,0.9915966386554622,1.0,0.9915966386554622
drift,NF-UNSW-NB15-v3.csv,label_shift,AE,0.8775510204081632,0.9210526315789473,0.9545454545454546,0.8898305084745762,0.9906348008883143
drift,NF-UNSW-NB15-v3.csv,label_shift,LSTM,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,DSFANet,0.9965986394557823,0.9978768577494692,1.0,0.9957627118644068,0.9991640724086245
drift,NF-UNSW-NB15-v3.csv,label_shift,Stacking,0.9965986394557823,0.9978768577494692,1.0,0.9957627118644068,0.9999999999999999
drift,NF-UNSW-NB15-v3.csv,label_shift,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,AE,0.2425,0.20611353711790392,0.11489776046738072,1.0,0.4082682634687806
drift,NF-UNSW-NB15-v3.csv,corruption,LSTM,0.92625,0.721259842519685,0.5739348370927319,0.9703389830508474,0.9647765538604
drift,NF-UNSW-NB15-v3.csv,corruption,DSFANet,0.98625,0.9336016096579477,0.8888888888888888,0.9830508474576272,0.9904959616165689
drift,NF-UNSW-NB15-v3.csv,corruption,Stacking,0.9895833333333334,0.9484536082474226,0.9236947791164659,0.9745762711864406,0.9888203261922212
drift,NF-UNSW-NB15-v3.csv,corruption,XGBoostStacking,0.89125,0.6244604316546762,0.47276688453159044,0.9194915254237288,0.565725778805801
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,AE,0.33441666666666664,0.1505902371583537,0.08321579689703808,0.7910614525139665,0.08808727687995843
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,LSTM,0.9200833333333334,0.0062176165803108805,0.04285714285714286,0.0033519553072625698,0.06733632806473346
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,DSFANet,0.8996666666666666,0.024311183144246355,0.04424778761061947,0.01675977653631285,0.0866993978797807
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,Stacking,0.922,0.02092050209205021,0.16393442622950818,0.0111731843575419,0.07893891202578755
drift,NF-UNSW-NB15-v3.csv,natural_NF_ToN_IoT_v3,XGBoostStacking,0.9153333333333333,0.16993464052287582,0.3161094224924012,0.11620111731843576,0.10392456213348586
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,AE,0.6,0.3333333333333333,0.20270270270270271,0.9375,0.5930180296756383
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,LSTM,0.28,0.2116788321167883,0.11983471074380166,0.90625,0.8982517206566638
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,DSFANet,0.19666666666666666,0.1939799331103679,0.10861423220973783,0.90625,0.9160014019892375
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,Stacking,0.33666666666666667,0.22568093385214008,0.1288888888888889,0.90625,0.8987960926153888
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,XGBoostStacking,0.22333333333333333,0.19377162629757785,0.10894941634241245,0.875,0.10866407263294423
